X1,X2,Phenotype
AGREE_Gupta.sumstats.gz:,235374,AGREE_Gupta
AGRI_Cheesman.sumstats.gz:,114687.803,AGRI_Cheesman
ALC.sumstats.gz:,283162,ALC
ARTS_Cheesman.sumstats.gz:,194834.291,ARTS_Cheesman
ASPEED_Linner.sumstats.gz:,404291,ASPEED_Linner
BMI.sumstats.gz:,283749,BMI
BP.sumstats.gz:,275793,BP
BUSI_Cheesman.sumstats.gz:,397458.518,BUSI_Cheesman
Cancer.sumstats.gz:,283034,Cancer
Coffee.sumstats.gz:,263464,Coffee
CONSC_Gupta.sumstats.gz:,234880,CONSC_Gupta
DD_ANX.sumstats.gz:,282802,DD_ANX
DEPRI_Neale.sumstats.gz:,336798,DEPRI_Neale
Diabetes.sumstats.gz:,283227,Diabetes
DRINKS_Linner.sumstats.gz:,414343,DRINKS_Linner
EA_okbay.sumstats.gz:,765283,EA_okbay
EDU_Cheesman.sumstats.gz:,178741.31,EDU_Cheesman
EDU.sumstats.gz:,283749,EDU
ENG_Cheesman.sumstats.gz:,586747.69,ENG_Cheesman
EXTRA_Gupta.sumstats.gz:,298772,EXTRA_Gupta
Fruit.sumstats.gz:,273875,Fruit
Health_Cheesman.sumstats.gz:,465932.983,Health_Cheesman
Height.sumstats.gz:,283749,Height
ICT_Cheesman.sumstats.gz:,124859.7,ICT_Cheesman
ILL.sumstats.gz:,283743,ILL
INS.sumstats.gz:,283595,INS
LDL.sumstats.gz:,269545,LDL
LON.sumstats.gz:,279941,LON
NatSci_Cheesman.sumstats.gz:,84600.915,NatSci_Cheesman
NEURO_Gupta.sumstats.gz:,623482,NEURO_Gupta
NSEXP_Linner.sumstats.gz:,370711,NSEXP_Linner
OPEN_Gupta.sumstats.gz:,220015,OPEN_Gupta
PA.sumstats.gz:,271843,PA
REPERR_Schoeler.sumstats.gz:,62129,REPERR_Schoeler
Risk.sumstats.gz:,274537,Risk
RT.sumstats.gz:,282217,RT
SERV_Cheesman.sumstats.gz:,205736.31,SERV_Cheesman
Sex.sumstats.gz:,283749,Sex
SMOKER_Linner.sumstats.gz:,518633,SMOKER_Linner
Smoking.sumstats.gz:,283749,Smoking
Social_Cheesman.sumstats.gz:,118436.525,Social_Cheesman
UKBBpart.sumstats.gz:,283749,UKBBpart
VEG.sumstats.gz:,276203,VEG
wALC.sumstats.gz:,102020,wALC
wBMI.sumstats.gz:,102215,wBMI
wBP.sumstats.gz:,99220,wBP
wCancer.sumstats.gz:,101903,wCancer
wCoffee.sumstats.gz:,94643,wCoffee
wDD_ANX.sumstats.gz:,101859,wDD_ANX
wDiabetes.sumstats.gz:,102023,wDiabetes
wEDU.sumstats.gz:,102215,wEDU
wFruit.sumstats.gz:,98925,wFruit
wHeight.sumstats.gz:,102215,wHeight
wILL.sumstats.gz:,102213,wILL
wINS.sumstats.gz:,102156,wINS
wLDL.sumstats.gz:,97011,wLDL
wLON.sumstats.gz:,100928,wLON
wPA.sumstats.gz:,98035,wPA
wRisk.sumstats.gz:,99063,wRisk
wRT.sumstats.gz:,101556,wRT
wSex.sumstats.gz:,102215,wSex
wSmoking.sumstats.gz:,102215,wSmoking
wUKBBpart.sumstats.gz:,102215,wUKBBpart
wVEG.sumstats.gz:,100090,wVEG
